Location Type,City,Borough,num_calls
Club/Bar/Restaurant,BRONX,BRONX,36
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,35
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,CORONA,QUEENS,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,22
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,12
Club/Bar/Restaurant,BRONX,BRONX,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BRONX,BRONX,14
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,110
Club/Bar/Restaurant,NEW YORK,MANHATTAN,25
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,38
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,31
Club/Bar/Restaurant,WOODHAVEN,QUEENS,15
Club/Bar/Restaurant,ASTORIA,QUEENS,64
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,20
Club/Bar/Restaurant,NEW YORK,MANHATTAN,245
Club/Bar/Restaurant,JACKSON HEIGHTS,QUEENS,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,103
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,13
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,25
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,42
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,15
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,20
Club/Bar/Restaurant,ASTORIA,QUEENS,26
Club/Bar/Restaurant,NEW YORK,MANHATTAN,22
Club/Bar/Restaurant,NEW YORK,MANHATTAN,77
Club/Bar/Restaurant,NEW YORK,MANHATTAN,30
Club/Bar/Restaurant,NEW YORK,MANHATTAN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,171
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,17
Club/Bar/Restaurant,BRONX,BRONX,19
Club/Bar/Restaurant,SUNNYSIDE,QUEENS,72
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,36
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,19
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,39
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,11
Club/Bar/Restaurant,RIDGEWOOD,QUEENS,13
Club/Bar/Restaurant,NEW YORK,MANHATTAN,30
Club/Bar/Restaurant,NEW YORK,MANHATTAN,18
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,58
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,87
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,24
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,13
Club/Bar/Restaurant,NEW YORK,MANHATTAN,31
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,15
Club/Bar/Restaurant,BRONX,BRONX,26
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,23
Club/Bar/Restaurant,NEW YORK,MANHATTAN,93
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,17
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,16
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,17
Club/Bar/Restaurant,LONG ISLAND CITY,QUEENS,26
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,209
Club/Bar/Restaurant,ASTORIA,QUEENS,17
Club/Bar/Restaurant,BRONX,BRONX,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,18
Club/Bar/Restaurant,NEW YORK,MANHATTAN,39
Club/Bar/Restaurant,BRONX,BRONX,13
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,19
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,21
Club/Bar/Restaurant,BRONX,BRONX,54
Club/Bar/Restaurant,NEW YORK,MANHATTAN,20
Club/Bar/Restaurant,BRONX,BRONX,36
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,25
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,24
Club/Bar/Restaurant,NEW YORK,MANHATTAN,19
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,15
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,34
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,223
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,28
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,ASTORIA,QUEENS,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,44
Club/Bar/Restaurant,NEW YORK,MANHATTAN,41
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,19
Club/Bar/Restaurant,ASTORIA,QUEENS,17
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,13
Club/Bar/Restaurant,SUNNYSIDE,QUEENS,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,26
Club/Bar/Restaurant,NEW YORK,MANHATTAN,13
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,22
Club/Bar/Restaurant,BRONX,BRONX,22
Club/Bar/Restaurant,NEW YORK,MANHATTAN,26
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,13
Club/Bar/Restaurant,NEW YORK,MANHATTAN,46
Club/Bar/Restaurant,BRONX,BRONX,20
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,37
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,27
Club/Bar/Restaurant,NEW YORK,MANHATTAN,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,18
Club/Bar/Restaurant,ASTORIA,QUEENS,24
Club/Bar/Restaurant,BRONX,BRONX,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BRONX,BRONX,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,33
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,13
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,JAMAICA,QUEENS,16
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,20
Club/Bar/Restaurant,ELMHURST,QUEENS,19
Club/Bar/Restaurant,NEW YORK,MANHATTAN,55
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,21
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,13
Club/Bar/Restaurant,NEW YORK,MANHATTAN,20
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,116
Club/Bar/Restaurant,RICHMOND HILL,QUEENS,26
Club/Bar/Restaurant,NEW YORK,MANHATTAN,62
Club/Bar/Restaurant,NEW YORK,MANHATTAN,30
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,24
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,26
Club/Bar/Restaurant,NEW YORK,MANHATTAN,29
Club/Bar/Restaurant,NEW YORK,MANHATTAN,56
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,25
Club/Bar/Restaurant,BRONX,BRONX,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,17
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,60
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,ASTORIA,QUEENS,23
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,42
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,24
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,ASTORIA,QUEENS,12
Club/Bar/Restaurant,ASTORIA,QUEENS,17
Club/Bar/Restaurant,HOLLIS,QUEENS,34
Club/Bar/Restaurant,NEW YORK,MANHATTAN,52
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,34
Club/Bar/Restaurant,NEW YORK,MANHATTAN,26
Club/Bar/Restaurant,NEW YORK,MANHATTAN,17
Club/Bar/Restaurant,NEW YORK,MANHATTAN,30
Club/Bar/Restaurant,NEW YORK,MANHATTAN,13
Club/Bar/Restaurant,JACKSON HEIGHTS,QUEENS,18
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,WOODSIDE,QUEENS,17
Club/Bar/Restaurant,LONG ISLAND CITY,QUEENS,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,33
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,26
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,45
Club/Bar/Restaurant,BAYSIDE,QUEENS,17
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,31
Club/Bar/Restaurant,HOWARD BEACH,QUEENS,95
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,74
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,17
Club/Bar/Restaurant,NEW YORK,MANHATTAN,39
Club/Bar/Restaurant,NEW YORK,MANHATTAN,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BRONX,BRONX,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,17
Club/Bar/Restaurant,NEW YORK,MANHATTAN,41
Club/Bar/Restaurant,BRONX,BRONX,10
Club/Bar/Restaurant,ASTORIA,QUEENS,54
Club/Bar/Restaurant,NEW YORK,MANHATTAN,37
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,17
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,19
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,13
Club/Bar/Restaurant,ASTORIA,QUEENS,22
Club/Bar/Restaurant,ASTORIA,QUEENS,11
Club/Bar/Restaurant,JAMAICA,QUEENS,16
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,34
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,68
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,59
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,17
Club/Bar/Restaurant,LONG ISLAND CITY,QUEENS,15
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,21
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,13
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,22
Club/Bar/Restaurant,NEW YORK,MANHATTAN,15
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,29
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,24
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,65
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,18
Club/Bar/Restaurant,NEW YORK,MANHATTAN,12
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,17
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,60
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,44
Club/Bar/Restaurant,NEW YORK,MANHATTAN,21
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,20
Club/Bar/Restaurant,LONG ISLAND CITY,QUEENS,17
Club/Bar/Restaurant,NEW YORK,MANHATTAN,19
Club/Bar/Restaurant,BRONX,BRONX,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,22
Club/Bar/Restaurant,LONG ISLAND CITY,QUEENS,12
Club/Bar/Restaurant,FOREST HILLS,QUEENS,56
Club/Bar/Restaurant,BRONX,BRONX,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,33
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,16
Club/Bar/Restaurant,LONG ISLAND CITY,QUEENS,10
Club/Bar/Restaurant,WOODSIDE,QUEENS,22
Club/Bar/Restaurant,KEW GARDENS,QUEENS,20
Club/Bar/Restaurant,NEW YORK,MANHATTAN,72
Club/Bar/Restaurant,BRONX,BRONX,16
Club/Bar/Restaurant,BRONX,BRONX,19
Club/Bar/Restaurant,NEW YORK,MANHATTAN,17
Club/Bar/Restaurant,NEW YORK,MANHATTAN,41
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,31
Club/Bar/Restaurant,WOODSIDE,QUEENS,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,44
Club/Bar/Restaurant,RICHMOND HILL,QUEENS,127
Club/Bar/Restaurant,NEW YORK,MANHATTAN,20
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,18
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,BRONX,BRONX,50
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,11
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,14
Club/Bar/Restaurant,BRONX,BRONX,30
Club/Bar/Restaurant,BRONX,BRONX,26
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,45
Club/Bar/Restaurant,BRONX,BRONX,21
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,29
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,77
Club/Bar/Restaurant,KEW GARDENS,QUEENS,29
Club/Bar/Restaurant,ASTORIA,QUEENS,13
Club/Bar/Restaurant,JACKSON HEIGHTS,QUEENS,10
Club/Bar/Restaurant,ASTORIA,QUEENS,11
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,ASTORIA,QUEENS,11
Club/Bar/Restaurant,BRONX,BRONX,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,28
Club/Bar/Restaurant,NEW YORK,MANHATTAN,48
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,JACKSON HEIGHTS,QUEENS,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,JAMAICA,QUEENS,12
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,50
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,13
Club/Bar/Restaurant,NEW YORK,MANHATTAN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,28
Club/Bar/Restaurant,JACKSON HEIGHTS,QUEENS,143
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,31
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,19
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,15
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,19
Club/Bar/Restaurant,NEW YORK,MANHATTAN,52
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,ASTORIA,QUEENS,32
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,70
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,21
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,24
Club/Bar/Restaurant,NEW YORK,MANHATTAN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,SOUTH OZONE PARK,QUEENS,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,35
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,47
Club/Bar/Restaurant,NEW YORK,MANHATTAN,89
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,41
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,168
Club/Bar/Restaurant,NEW YORK,MANHATTAN,19
Club/Bar/Restaurant,NEW YORK,MANHATTAN,13
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,181
Club/Bar/Restaurant,BRONX,BRONX,59
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,11
Club/Bar/Restaurant,BRONX,BRONX,43
Club/Bar/Restaurant,RIDGEWOOD,QUEENS,11
Club/Bar/Restaurant,JACKSON HEIGHTS,QUEENS,28
Club/Bar/Restaurant,NEW YORK,MANHATTAN,34
Club/Bar/Restaurant,NEW YORK,MANHATTAN,25
Club/Bar/Restaurant,NEW YORK,MANHATTAN,38
Club/Bar/Restaurant,NEW YORK,MANHATTAN,18
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,21
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,51
Club/Bar/Restaurant,NEW YORK,MANHATTAN,27
Club/Bar/Restaurant,JACKSON HEIGHTS,QUEENS,154
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,ASTORIA,QUEENS,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,BRONX,BRONX,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,29
Club/Bar/Restaurant,NEW YORK,MANHATTAN,19
Club/Bar/Restaurant,NEW YORK,MANHATTAN,12
Club/Bar/Restaurant,ASTORIA,QUEENS,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,50
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,22
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,18
Club/Bar/Restaurant,NEW YORK,MANHATTAN,34
Club/Bar/Restaurant,ASTORIA,QUEENS,96
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,20
Club/Bar/Restaurant,ASTORIA,QUEENS,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,22
Club/Bar/Restaurant,EAST ELMHURST,QUEENS,11
Club/Bar/Restaurant,BRONX,BRONX,13
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,15
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,12
Club/Bar/Restaurant,BRONX,BRONX,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,11
Club/Bar/Restaurant,ASTORIA,QUEENS,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,21
Club/Bar/Restaurant,NEW YORK,MANHATTAN,51
Club/Bar/Restaurant,NEW YORK,MANHATTAN,38
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,33
Club/Bar/Restaurant,ASTORIA,QUEENS,12
Club/Bar/Restaurant,NEW YORK,MANHATTAN,23
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,13
Club/Bar/Restaurant,WOODSIDE,QUEENS,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,12
Club/Bar/Restaurant,BRONX,BRONX,14
Club/Bar/Restaurant,BRONX,BRONX,20
